,RT,alienType,confidenceRating,response
0,1.2281622973653157,B11,4,s
1,2.4869467334231103,B10,3,s
2,3.052520063488373,B02,4,s
3,2.2429183870483484,A05,5,s
4,1.8797383067883402,A07,4,s
5,2.182923530835751,A12,4,s
6,3.395692802380154,B11,3,c
7,1.4425266260436729,A12,3,s
8,1.6041260783388225,B12,4,s
9,1.6573017936241285,B09,4,c
10,2.0181025702638635,A01,5,s
11,1.471713394435028,A05,4,s
12,1.4681224028249744,B05,5,c
13,1.0757314049362776,B02,5,c
14,0.7293398745566719,B07,5,c
15,4.254010433678104,B08,5,c
16,1.2189146487464768,B05,5,c
17,7.374335820503575,B02,3,c
18,1.4793357993730751,B05,4,c
19,1.1988904029119567,B09,4,c
20,1.2944863668499238,B08,4,c
21,1.6576782198631008,A06,4,s
22,1.2397315933003483,B08,3,c
23,1.7300857841287325,A01,4,s
24,1.6104652531714692,B01,4,c
25,1.0928571385447867,A09,3,s
26,5.011987983339395,B02,2,c
27,1.5712324019978041,A01,4,s
28,1.2268461639237103,A06,5,s
29,1.779640924988371,B04,3,c
30,1.2276560689749658,B05,4,c
31,1.323647174810958,B06,4,c
32,3.0852075657146543,A02,2,s
33,1.2204442010738603,A03,3,s
34,1.408844477099592,B04,3,c
35,1.1908330098342503,B12,4,s
36,1.787231935917589,A05,3,s
37,0.9680505588435153,A06,4,s
38,0.9020319772128005,A01,4,s
39,1.9428076627943938,A10,3,s
40,1.1288096176754152,A08,4,c
41,1.0568041382134652,B06,4,c
42,0.9168553828951644,B07,4,c
43,1.3724044852378938,A07,3,s
44,0.8896207784869148,A07,3,s
45,1.3471987186414935,A06,4,s
46,0.8964121477908975,B07,4,c
47,3.6335413588897154,A10,2,c
48,0.9975766240211215,B01,4,c
49,2.7167315576800775,A11,2,c
50,2.2015643272293346,B12,3,c
51,2.624757375629997,A12,2,c
52,1.4817283850741205,A11,2,c
53,1.0808163287483694,A09,2,c
54,1.5200357167223046,B03,4,c
55,0.8056864813172524,A08,4,c
56,0.6571982537686836,B07,4,c
57,0.7120538503845637,B10,4,c
58,2.0580463146150123,A11,2,c
59,2.6407242477059754,A02,3,s
60,5.388648167948304,A10,3,s
61,0.9007656515736926,B03,2,c
62,1.2099616208242878,B11,3,c
63,1.2423732180127445,A04,2,s
64,0.6771361660789808,A09,2,s
65,1.4483384419033882,A12,4,s
66,1.4643210109836673,B06,4,c
67,1.0391365560894883,A04,3,s
68,1.1399433217397927,B04,3,c
69,2.86908456881838,A03,2,s
70,0.896326719863282,A07,2,s
71,1.2003318105225844,B06,5,c
72,2.9922490003723397,A03,2,s
73,0.9807228711993048,B03,4,c
74,1.264298914431265,A04,4,s
75,0.9587102375257928,B10,3,c
76,0.8079085130289059,B11,4,c
77,1.153103146826652,B12,3,s
78,0.7815130946221416,A08,4,c
79,0.8347014882569965,A08,4,c
80,0.8898990984484954,A11,3,c
81,3.628217659492293,B04,3,s
82,1.0079022342270036,A10,3,s
83,0.9594866355100748,B09,3,c
84,0.915093997888107,A04,4,s
85,1.5530676474477332,B09,2,c
86,0.9450372411426997,A02,4,s
87,0.9022665266816148,A02,4,s
88,3.426997760762106,B01,4,c
89,0.9794634884660809,A05,3,s
90,1.0362597781770546,B10,3,c
91,0.9062523583238544,B08,4,c
92,4.7541740447618395,A09,2,s
93,1.1458466028361727,B03,3,c
94,0.8874539881560395,A03,4,s
95,1.1318334040704485,B01,4,c
